wl,n
0.2066,1.023
0.2101,1.108
0.2138,1.209
0.2175,1.310
0.2214,1.360
0.2254,1.380
0.2296,1.383
0.2339,1.371
0.2384,1.364
0.2431,1.370
0.2480,1.394
0.2530,1.435
0.2583,1.498
0.2638,1.586
0.2695,1.720
0.2755,1.953
0.2818,2.516
0.2883,3.338
0.2952,3.745
0.3024,3.869
0.3100,3.905
0.3179,3.920
0.3263,3.936
0.3351,3.958
0.3444,3.985
0.3542,4.020
0.3647,4.070
0.3757,4.128
0.3875,4.157
0.3999,4.141
0.4133,4.082
0.4275,4.037
0.4428,4.035
0.4592,4.082
0.4769,4.180
0.4959,4.340
0.5166,4.610
0.5391,5.062
0.5636,5.283
0.5904,5.748
0.6199,5.588
0.6525,5.294
0.6888,5.067
0.7293,4.897
0.7749,4.763
0.8266,4.653

wl,k
0.2066,2.774
0.2101,2.831
0.2138,2.873
0.2175,2.866
0.2214,2.846
0.2254,2.842
0.2296,2.854
0.2339,2.897
0.2384,2.973
0.2431,3.073
0.2480,3.197
0.2530,3.342
0.2583,3.509
0.2638,3.709
0.2695,3.960
0.2755,4.297
0.2818,4.669
0.2883,4.507
0.2952,4.009
0.3024,3.614
0.3100,3.336
0.3179,3.137
0.3263,2.986
0.3351,2.863
0.3444,2.759
0.3542,2.667
0.3647,2.579
0.3757,2.469
0.3875,2.340
0.3999,2.215
0.4133,2.145
0.4275,2.140
0.4428,2.181
0.4592,2.240
0.4769,2.309
0.4959,2.384
0.5166,2.455
0.5391,2.318
0.5636,2.049
0.5904,1.634
0.6199,0.933
0.6525,0.638
0.6888,0.500
0.7293,0.401
0.7749,0.345
0.8266,0.298
